command,index
wxit,0
exit,1
$nu.config-path,2
nvim /home/rio/.config/nushell/config.nu,3
exit,4
starship preset tokyo-night -o ~/.config/starship.toml,5
ls,6
go,7
pacman -S luarocks,8
sudo pacman -S luarocks,9
ls,10
pwd,11
cd ~/.config/,12
ls,13
git clone https://github.com/rioten353/rioten353.git,14
ls,15
pwd,16
ls,17
git clone https://github.com/rioten353/rioten353/nvim.git,18
git clone https://github.com/rioten353/nvim.git,19
ls,20
pwd,21
cd ~/.config/nvim/,22
nvim,23
cd ,24
ls,25
cd Downloads/,26
ls,27
unzip Tokyonight-Moon-Icons.zip,28
exit,29
sudo shutdown now,30
rm -rf .cache/,31
rm .Xauthority,32
rm .ICEauthority,33
htop,34
nvim /etc/environment,35
shutdown now,36
pacman -Syu,37
sudo pacman -Syyu,38
sudo pacman -Syu,39
sudo pacman -Sy,40
sudo yay -Sy,41
ls,42
nvim ~/.bashrc,43
sudo reboot now,44
pacman -Syu,45
sudo pacman -Syu,46
sudo pacman-key --refresh-keys,47
sudo pacman -Syu,48
sudo rm /var/lib/pacman/db.lck,49
sudo pacman -Syu,50
pacman -S wezterm,51
sudo pacman -S wezterm,52
exit,53
ls,54
cd ~/.config/nvim/,55
nvim,56
exit,57
ls,58
pwd,59
sys,60
show disk,61
ls,62
yay -Ss visual-studio-code,63
yay -Ss zed,64
nvim ~/.wezterm.lua,65
exit,66
ls,67
du,68
cd,69
du,70
exit,71
nu,72
ls,73
exit,74
ps,75
htop,76
fastfetch,77
sys,78
sys disks,79
sys host,80
sys cpu,81
sys mem,82
sys net,83
sys temp,84
ls,85
pwd,86
ll,87
ls,88
exit,89
ls,90
sys,91
sys mem\,92
sys mem,93
yay -Ss visual-studio-code,94
yay -Ss zed,95
yay -S zed,96
pacman -S clang,97
sudo pacman -S clang eslint pyright rust-analyzer,98
zed,99
yay -Rns zed,100
nvim ~/.wezterm.lua,101
ls,102
exit,103
ls,104
cd ~/.config/nvim/,105
nvim,106
ls,107
nvim ~/.wezterm.lua,108
ls,109
exit,110
cd ~/.config/nvim/,111
nvim,112
go,113
go --version,114
go version,115
yay -S dart,116
dart,117
dart --version,118
ls,119
pws,120
pwd,121
cd,122
ls,123
du,124
ls,125
ls go/,126
mkdir coding,127
mkdir coding/dart,128
cd coding/dart/,129
dart create apps,130
cd apps/,131
dart run,132
nvim,133
pacman -S ripgrep,134
sudp pacman -S ripgrep,135
sudo pacman -S ripgrep,136
sudo pacman -S fzf,137
fzf,138
nvim,139
pacman -S lua,140
sudo pacman -S lua,141
sudo pacman -S lua-5.1,142
yay -Ss lua,143
sudo pacman -S lua51,144
nvim,145
ls,146
htop,147
dart --version,148
python --version,149
python3 --version,150
ls,151
wxit,152
exit,153
ls,154
pwd,155
ls,156
cat lib/main.dart,157
yay -Ss bat,158
pacman -Ss bat,159
yay -Ss lsd,160
yay -S lsd,161
lsd,162
lsd -a,163
ls,164
lsd,165
yay -S bat,166
ls,167
lsd,168
bat lib/main.dart,169
fzf,170
"fzf --preview=""bat"" {}",171
"fzf --preview=""bat {}""",172
tmux,173
yay -S tmux,174
"nvim $(fzf --preview=""bat --color=always {}"")",175
ls,176
pwd,177
exit,178
nvim ~/.bashrc,179
exit,180
$nu.config-path,181
$nu.env-path,182
z,183
$nu.env-path,184
nvim /home/rio/.config/nushell/env.nu,185
$nu.config-path,186
nvim /home/rio/.config/nushell/config.nu,187
exit,188
z,189
z nvim,190
git status,191
"fzf --preview=""bat {}""",192
sys disks,193
ls,194
pwd,195
ll,196
fzf,197
ls,198
du,199
cd .cache/,200
ls,201
lsd,202
cd,203
pwd,204
curl,205
wget,206
ssh,207
tmux,208
exit,209
fastfetch,210
ls,211
lsd,212
curl wttr.in/Thane,213
curl wttr.in/Kalyan,214
pwd,215
lsd,216
yay -Ss kitty,217
lsd,218
pwd,219
lsd,220
nvim ~/.wezterm.lua,221
z ~/.config/starship.toml,222
z ~/.config/,223
ls,224
nvim starship.toml,225
ls,226
pwd,227
cd Downloads/,228
cd,229
z Downloads/,230
ls,231
unzip Tokyonight-Dark-B-LB.zip,232
thunar,233
ls,234
rm -rf Tokyonight-Dark-B-LB.zip Tokyonight-Dark Tokyonight-Dark-hdpi Tokyonight-Dark-xhdpi,235
ls,236
tar -xzf Sweet-Ambar-Blue-Dark.tar.xz,237
tar -xf Sweet-Ambar-Blue-Dark.tar.xz,238
ls,239
tar -xf candy-icons.tar.xz,240
ls,241
history,242
exit,243
nu,244
history,245
gtk-update-icon-cache -f -t /home/rio/.icons/candy-icons/,246
nvim ~/.bashrc,247
exit,248
git status,249
"git commit -m ""pyright added""",250
"git config --global user.email ""rioten353@gmail.com""",251
